 ,X,Y,Value
1,9159,328,255
2,9159,329,255
3,9159,330,255
4,9159,331,255
5,9159,332,255
6,9159,333,255
7,9159,334,255
8,9159,335,255
9,9159,336,255
10,9159,337,255
11,9159,338,255
12,9159,339,255
13,9159,340,255
14,9159,341,255
15,9159,342,255
16,9159,343,255
17,9159,344,255
18,9159,345,255
19,9159,346,255
20,9159,347,255
21,9159,348,255
22,9159,349,255
23,9159,350,255
24,9159,351,255
25,9159,352,255
26,9159,353,255
27,9159,354,255
28,9159,355,255
29,9159,356,255
30,9159,357,255
31,9159,358,255
32,9159,359,255
33,9159,360,255
34,9159,361,255
35,9159,362,255
36,9159,363,255
37,9159,364,255
38,9159,365,255
39,9159,366,255
40,9159,367,255
41,9159,368,255
42,9159,369,255
43,9159,370,255
44,9159,371,255
45,9159,372,255
46,9159,373,255
47,9159,374,255
48,9159,375,255
49,9159,376,255
50,9159,377,255
51,9159,378,255
52,9159,379,255
53,9159,380,255
54,9159,381,255
55,9159,382,255
56,9159,383,255
57,9159,384,255
58,9159,385,255
59,9159,386,255
60,9159,387,255
61,9159,388,255
62,9159,389,255
63,9159,390,255
64,9159,391,255
65,9159,392,255
66,9159,393,255
67,9159,394,255
68,9159,395,255
69,9159,396,255
70,9159,397,255
71,9159,398,255
72,9159,399,255
73,9159,400,255
74,9159,401,255
75,9159,402,255
76,9159,403,255
77,9159,404,255
78,9159,405,255
79,9159,406,255
80,9159,407,255
81,9159,408,255
82,9159,409,255
83,9159,410,255
84,9159,411,255
85,9159,412,255
86,9159,413,255
87,9159,414,255
88,9159,415,255
89,9159,416,255
90,9159,417,255
91,9159,418,255
92,9159,419,255
93,9159,420,255
94,9159,421,255
95,9159,422,255
96,9159,423,255
97,9159,424,255
98,9159,425,255
99,9159,426,255
100,9159,427,255
101,9159,428,255
102,9159,429,255
103,9159,430,255
104,9159,431,255
105,9159,432,255
106,9159,433,255
107,9159,434,255
108,9159,435,255
109,9159,436,255
110,9159,437,255
111,9159,438,255
112,9159,439,255
113,9159,440,255
114,9159,441,255
115,9159,442,255
116,9159,443,255
117,9159,444,255
118,9159,445,255
119,9159,446,255
120,9159,447,255
121,9159,448,255
122,9159,449,255
123,9159,450,255
124,9159,451,255
125,9159,452,255
126,9159,453,255
127,9159,454,255
128,9159,455,255
129,9159,456,255
130,9159,457,255
131,9159,458,255
132,9159,459,255
133,9159,460,255
134,9159,461,255
135,9159,462,255
136,9159,463,255
137,9159,464,255
138,9159,465,255
139,9159,466,255
140,9159,467,255
141,9159,468,255
142,9159,469,255
143,9159,470,255
144,9159,471,255
145,9159,472,255
146,9159,473,255
147,9159,474,255
148,9159,475,255
149,9159,476,255
150,9159,477,255
151,9159,478,255
152,9159,479,255
153,9159,480,255
154,9159,481,255
155,9159,482,255
156,9159,483,255
157,9159,484,255
158,9159,485,255
159,9159,486,255
160,9159,487,255
161,9159,488,255
162,9159,489,255
163,9159,490,255
164,9159,491,255
165,9159,492,255
166,9159,493,255
167,9159,494,255
168,9159,495,255
169,9159,496,255
170,9159,497,255
171,9159,498,255
172,9159,499,255
173,9159,500,255
174,9159,501,255
175,9159,502,255
176,9159,503,255
177,9159,504,255
178,9159,505,255
179,9159,506,255
180,9159,507,255
181,9159,508,255
182,9159,509,255
183,9159,510,255
184,9159,511,255
185,9159,512,255
186,9159,513,255
187,9159,514,255
188,9159,515,255
189,9159,516,255
190,9159,517,255
191,9159,518,255
192,9159,519,255
193,9159,520,255
194,9159,521,255
195,9159,522,255
196,9159,523,255
